czas [s]	T2 [C]	T3 [C]	T4 [C]	T6 [C]	T8 [C]
250.000000	106.900000	52.840000	31.320000	21.810000	23.310000
251.000000	107.160000	53.640000	31.310000	22.890000	22.770000
252.000000	107.540000	53.900000	31.250000	21.760000	22.630000
253.000000	107.770000	54.820000	31.890000	22.040000	23.930000
254.000000	106.660000	54.570000	31.230000	22.300000	22.290000
255.000000	108.670000	55.040000	31.140000	22.520000	22.750000
256.000000	109.010000	53.960000	32.150000	22.120000	23.970000
257.000000	108.780000	54.360000	32.520000	21.950000	23.980000
258.000000	108.980000	54.480000	31.820000	21.770000	23.020000
259.000000	108.630000	54.680000	32.630000	22.740000	23.240000
260.000000	108.060000	55.930000	32.270000	21.650000	23.340000
261.000000	109.800000	55.750000	32.780000	22.940000	22.450000
262.000000	108.380000	54.520000	31.390000	22.260000	23.310000
263.000000	108.770000	56.530000	32.410000	23.240000	22.470000
264.000000	108.980000	54.980000	31.390000	22.010000	22.860000
265.000000	109.820000	56.670000	31.470000	21.580000	22.790000
266.000000	110.270000	56.500000	31.560000	21.840000	23.860000
267.000000	110.220000	55.630000	32.360000	22.070000	23.750000
268.000000	109.960000	55.690000	32.040000	21.950000	22.630000
269.000000	110.730000	56.740000	33.390000	22.880000	23.500000
270.000000	110.840000	57.030000	33.630000	21.860000	23.520000
271.000000	110.390000	56.710000	32.090000	22.320000	22.630000
272.000000	110.880000	57.350000	33.120000	23.510000	23.480000
273.000000	111.110000	58.150000	32.510000	23.310000	24.140000
274.000000	111.480000	57.340000	33.170000	22.310000	22.630000
275.000000	112.030000	56.970000	32.490000	22.270000	22.420000
276.000000	111.440000	58.540000	34.170000	23.390000	23.950000
277.000000	112.240000	57.210000	32.810000	22.190000	23.130000
278.000000	112.170000	57.800000	33.840000	23.160000	22.340000
279.000000	113.180000	58.330000	33.150000	21.800000	22.900000
280.000000	112.030000	57.910000	34.250000	22.700000	24.130000
281.000000	113.830000	59.010000	32.960000	23.160000	24.190000
282.000000	114.240000	58.850000	33.360000	21.660000	23.430000
283.000000	112.570000	59.690000	34.780000	23.270000	22.680000
284.000000	113.840000	59.400000	33.600000	22.440000	22.460000
285.000000	114.850000	58.630000	34.420000	21.640000	22.740000
286.000000	114.050000	59.700000	33.360000	22.700000	22.500000
287.000000	114.630000	59.330000	33.790000	21.720000	24.180000
288.000000	114.940000	59.060000	35.020000	23.320000	22.240000
289.000000	115.240000	59.180000	33.570000	21.690000	23.590000
290.000000	114.240000	59.860000	35.290000	21.640000	22.430000
291.000000	114.280000	59.980000	35.540000	23.370000	22.700000
292.000000	116.000000	60.580000	34.530000	22.680000	22.280000
293.000000	115.360000	60.160000	34.540000	22.900000	22.300000
294.000000	114.890000	60.120000	35.450000	22.410000	22.940000
295.000000	116.540000	61.080000	34.060000	23.470000	23.560000
296.000000	116.120000	61.570000	34.570000	22.490000	22.510000
297.000000	117.070000	60.240000	35.940000	22.080000	23.470000
298.000000	116.240000	60.700000	34.640000	22.590000	23.150000
299.000000	116.200000	62.110000	35.580000	22.770000	23.080000
300.000000	115.980000	62.390000	35.310000	23.360000	22.530000
301.000000	116.130000	62.670000	34.790000	21.700000	22.350000
302.000000	116.840000	62.360000	36.580000	22.580000	23.190000
303.000000	118.010000	62.320000	36.260000	22.810000	23.010000
304.000000	117.690000	61.370000	35.490000	22.350000	22.740000
305.000000	117.490000	61.920000	35.570000	23.100000	22.390000
306.000000	116.850000	61.740000	35.460000	23.000000	23.950000
307.000000	118.520000	63.150000	36.700000	22.140000	22.480000
308.000000	118.010000	62.500000	37.010000	23.130000	22.330000
309.000000	117.840000	62.110000	36.080000	23.470000	23.250000
310.000000	118.280000	62.140000	36.420000	22.780000	22.280000
311.000000	119.590000	63.100000	36.850000	21.790000	22.970000
312.000000	119.830000	64.140000	36.770000	21.820000	23.260000
313.000000	119.330000	64.380000	37.100000	23.570000	22.990000
314.000000	120.120000	63.010000	35.730000	21.770000	22.630000
315.000000	119.980000	63.600000	37.680000	22.430000	22.530000
316.000000	120.470000	63.530000	37.410000	23.130000	22.430000
317.000000	119.230000	64.610000	36.030000	22.470000	23.660000
318.000000	119.210000	63.310000	37.550000	22.190000	23.300000
319.000000	121.080000	64.450000	37.800000	22.720000	23.850000
320.000000	119.620000	65.270000	37.400000	22.640000	22.510000
321.000000	120.470000	63.730000	37.790000	22.540000	23.910000
322.000000	121.410000	65.230000	36.460000	22.050000	23.310000
323.000000	121.020000	65.220000	37.860000	22.430000	24.150000
324.000000	121.170000	64.950000	38.120000	22.570000	22.310000
325.000000	121.700000	66.110000	37.090000	21.770000	23.380000
326.000000	121.230000	65.880000	37.510000	23.040000	23.350000
327.000000	121.600000	64.670000	38.000000	21.690000	23.370000
328.000000	121.490000	66.120000	38.110000	22.560000	22.640000
329.000000	122.450000	65.000000	37.480000	22.360000	22.290000
330.000000	122.120000	66.920000	37.350000	22.010000	22.350000
331.000000	121.590000	65.350000	38.860000	22.110000	22.930000
332.000000	122.620000	66.090000	38.190000	22.790000	23.890000
333.000000	122.320000	67.440000	38.670000	23.110000	22.400000
334.000000	121.840000	67.270000	38.080000	22.460000	23.900000
335.000000	123.690000	66.060000	38.930000	21.760000	23.370000
336.000000	122.730000	66.750000	38.300000	22.240000	24.160000
337.000000	124.010000	67.540000	39.070000	23.510000	23.960000
338.000000	122.570000	66.300000	39.090000	23.450000	23.810000
339.000000	123.130000	67.610000	39.810000	23.530000	23.930000
340.000000	123.680000	68.100000	38.330000	23.490000	23.860000
341.000000	124.890000	68.120000	40.010000	22.760000	22.410000
342.000000	124.650000	68.660000	38.200000	22.350000	22.560000
343.000000	124.430000	68.070000	39.040000	22.690000	22.870000
344.000000	123.710000	68.830000	38.850000	23.320000	22.370000
345.000000	125.520000	67.480000	40.080000	23.250000	23.510000
